dataset,physical_gpu_id,gpu_name,method,batch_size,repeat,n_samples,end_to_end_ms_per_sample,knowledge_stage_ms_per_sample,throughput_samples_per_s,peak_gpu_mib,offline_cache_mib,top1_agreement_vs_first_repeat,top1_sha256,full_ranking_sha256_audit
ESC-50,0,NVIDIA GeForce RTX 4090 D,CLAP,1,1,200,18.682799693197012,0.24960477487184107,53.52516841274764,693.18017578125,0.1953125,1.0,b1fb5cffca7fe9b798b619cf5fefa0079eedc55e54ba6d1cede8f30a9d4e2781,c2ffe37371e6daf0b2ccf717b89d52eb89d9c155f3a384cb5dd799743c4ee28b
ESC-50,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,1,200,20.016395348357037,1.690852022729814,49.95904520251599,697.18017578125,4.005695343017578,1.0,f09c870d6f99cd6a04fb3ed450340b9cbded9c1ff2a7b12b756b823a31f10629,7608bb363a71ebcb40e627715f3be8ac87440ec5442615f8b024821e291bf9b1
ESC-50,0,NVIDIA GeForce RTX 4090 D,SAKI,1,1,200,109.26643620361574,86.18130541639403,9.15194120668968,717.18017578125,24.46487522125244,1.0,e212198eac4d01a38a3495af1b1f22ef75dc7263f0d707b8aa4d56228e764883,251db89c69900ed3269419feb20bf881d849bfb329ea9aa5ba51f18b898eb68f
ESC-50,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,2,200,20.2594972983934,1.705439364304766,49.359566294831076,697.18017578125,4.005695343017578,1.0,f09c870d6f99cd6a04fb3ed450340b9cbded9c1ff2a7b12b756b823a31f10629,7608bb363a71ebcb40e627715f3be8ac87440ec5442615f8b024821e291bf9b1
ESC-50,0,NVIDIA GeForce RTX 4090 D,SAKI,1,2,200,99.07638818025589,77.3965583764948,10.093222193169145,717.18017578125,24.46487522125244,1.0,e212198eac4d01a38a3495af1b1f22ef75dc7263f0d707b8aa4d56228e764883,251db89c69900ed3269419feb20bf881d849bfb329ea9aa5ba51f18b898eb68f
ESC-50,0,NVIDIA GeForce RTX 4090 D,CLAP,1,2,200,21.094208353897557,0.2947780769318342,47.406377296696746,693.18017578125,0.1953125,1.0,b1fb5cffca7fe9b798b619cf5fefa0079eedc55e54ba6d1cede8f30a9d4e2781,c2ffe37371e6daf0b2ccf717b89d52eb89d9c155f3a384cb5dd799743c4ee28b
ESC-50,0,NVIDIA GeForce RTX 4090 D,SAKI,1,3,200,111.04776277323253,87.92415112373419,9.005134142522722,717.18017578125,24.46487522125244,1.0,e212198eac4d01a38a3495af1b1f22ef75dc7263f0d707b8aa4d56228e764883,251db89c69900ed3269419feb20bf881d849bfb329ea9aa5ba51f18b898eb68f
ESC-50,0,NVIDIA GeForce RTX 4090 D,CLAP,1,3,200,19.397767629707232,0.2471982571296394,51.552323911155796,693.18017578125,0.1953125,1.0,b1fb5cffca7fe9b798b619cf5fefa0079eedc55e54ba6d1cede8f30a9d4e2781,c2ffe37371e6daf0b2ccf717b89d52eb89d9c155f3a384cb5dd799743c4ee28b
ESC-50,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,3,200,20.806002060417086,1.8071776151191443,48.063053973376064,697.18017578125,4.005695343017578,1.0,f09c870d6f99cd6a04fb3ed450340b9cbded9c1ff2a7b12b756b823a31f10629,7608bb363a71ebcb40e627715f3be8ac87440ec5442615f8b024821e291bf9b1
ESC-50,0,NVIDIA GeForce RTX 4090 D,CLAP,1,4,200,19.491359125822783,0.24231792194768786,51.30478554854431,693.18017578125,0.1953125,1.0,b1fb5cffca7fe9b798b619cf5fefa0079eedc55e54ba6d1cede8f30a9d4e2781,c2ffe37371e6daf0b2ccf717b89d52eb89d9c155f3a384cb5dd799743c4ee28b
ESC-50,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,4,200,28.012754826340824,2.6200153154786676,35.69802421073148,697.18017578125,4.005695343017578,1.0,f09c870d6f99cd6a04fb3ed450340b9cbded9c1ff2a7b12b756b823a31f10629,7608bb363a71ebcb40e627715f3be8ac87440ec5442615f8b024821e291bf9b1
ESC-50,0,NVIDIA GeForce RTX 4090 D,SAKI,1,4,200,100.91961175668985,78.90943872509524,9.908876803954918,717.18017578125,24.46487522125244,1.0,e212198eac4d01a38a3495af1b1f22ef75dc7263f0d707b8aa4d56228e764883,251db89c69900ed3269419feb20bf881d849bfb329ea9aa5ba51f18b898eb68f
ESC-50,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,5,200,27.14866989874281,2.7061337616760284,36.83421706218866,697.18017578125,4.005695343017578,1.0,f09c870d6f99cd6a04fb3ed450340b9cbded9c1ff2a7b12b756b823a31f10629,7608bb363a71ebcb40e627715f3be8ac87440ec5442615f8b024821e291bf9b1
ESC-50,0,NVIDIA GeForce RTX 4090 D,SAKI,1,5,200,109.16608815430664,86.43802159349434,9.160353887431567,717.18017578125,24.46487522125244,1.0,e212198eac4d01a38a3495af1b1f22ef75dc7263f0d707b8aa4d56228e764883,251db89c69900ed3269419feb20bf881d849bfb329ea9aa5ba51f18b898eb68f
ESC-50,0,NVIDIA GeForce RTX 4090 D,CLAP,1,5,200,25.076279735658318,0.380815815879032,39.87832368044635,693.18017578125,0.1953125,1.0,b1fb5cffca7fe9b798b619cf5fefa0079eedc55e54ba6d1cede8f30a9d4e2781,c2ffe37371e6daf0b2ccf717b89d52eb89d9c155f3a384cb5dd799743c4ee28b
ESC-50,0,NVIDIA GeForce RTX 4090 D,CLAP,32,1,200,4.295627216342837,0.2556133596226573,232.79487479627454,1679.39501953125,0.1953125,1.0,094da07c03257740a82c7a709f72241971c6fc039f1f0cfeb7f2d09bca83d038,443f6502fa1c3fad919e81dffa84bfe4c8f4ac4a4058e8a10c4e867bf965817d
ESC-50,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,32,1,200,4.990066841710359,1.528004335705191,200.39811724390594,1683.39501953125,4.005695343017578,1.0,2b4acec878d4cd0b09d10ec1c45e506c7a228f25f329d29f79f63160da035a5f,12f7033b207faef6fc7418c9cc67dfb67fd6ab3ab7dfc638d9277b25edb08357
ESC-50,0,NVIDIA GeForce RTX 4090 D,SAKI,32,1,200,80.27465843013488,76.55523250577971,12.457231454560795,1703.48486328125,24.46487522125244,1.0,e212198eac4d01a38a3495af1b1f22ef75dc7263f0d707b8aa4d56228e764883,d2d9c49ba508a510668c064753c0a13d173285bb4c14c841cb887b2c5a315a5b
ESC-50,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,32,2,200,5.773614313220605,1.8508151592686772,173.20173218189657,1683.39501953125,4.005695343017578,1.0,2b4acec878d4cd0b09d10ec1c45e506c7a228f25f329d29f79f63160da035a5f,12f7033b207faef6fc7418c9cc67dfb67fd6ab3ab7dfc638d9277b25edb08357
ESC-50,0,NVIDIA GeForce RTX 4090 D,SAKI,32,2,200,75.09061452001333,71.5454641263932,13.317243524934499,1703.48486328125,24.46487522125244,1.0,e212198eac4d01a38a3495af1b1f22ef75dc7263f0d707b8aa4d56228e764883,d2d9c49ba508a510668c064753c0a13d173285bb4c14c841cb887b2c5a315a5b
ESC-50,0,NVIDIA GeForce RTX 4090 D,CLAP,32,2,200,3.5676942707505077,0.14674848993308842,280.2930756142504,1679.39501953125,0.1953125,1.0,094da07c03257740a82c7a709f72241971c6fc039f1f0cfeb7f2d09bca83d038,443f6502fa1c3fad919e81dffa84bfe4c8f4ac4a4058e8a10c4e867bf965817d
ESC-50,0,NVIDIA GeForce RTX 4090 D,SAKI,32,3,200,77.12775717722252,73.53302595904097,12.965500833924436,1703.48486328125,24.46487522125244,1.0,e212198eac4d01a38a3495af1b1f22ef75dc7263f0d707b8aa4d56228e764883,d2d9c49ba508a510668c064753c0a13d173285bb4c14c841cb887b2c5a315a5b
