dataset,physical_gpu_id,gpu_name,method,batch_size,repeat,n_samples,end_to_end_ms_per_sample,knowledge_stage_ms_per_sample,throughput_samples_per_s,peak_gpu_mib,offline_cache_mib,top1_agreement_vs_first_repeat,top1_sha256,full_ranking_sha256_audit
FSD50K,1,NVIDIA GeForce RTX 4090 D,CLAP,1,1,200,28.005946240155026,0.30181843088939786,35.706702834635756,693.7666015625,0.78125,1.0,39b6e25dfd0905b9b57fee8566ec8cc1c06700f9d8d812952aea9b53499ee874,e046375b82d7da0bd7675e78e20c1deff7ce27fbf70065a324d841f0ec7099b0
FSD50K,1,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,1,200,29.36062973807566,2.0890621724538505,34.05921497328012,701.2666015625,8.280271530151367,1.0,f144af2255c0774bdccb03338645f4ce3b6adb0d3ca7f92ae9d2af1f4cd0b2f2,c7ce312c384e9e8e54e472c896b73c190c801c0f9e4e5598a787177dee3f1e14
FSD50K,1,NVIDIA GeForce RTX 4090 D,SAKI,1,1,200,109.68320421059616,80.0101893779356,9.117166180520764,754.3447265625,61.90154266357422,1.0,bd9501526da1fc8e9738077e79a636040b66345ddc139676c3389078e31c6f38,3a8e568221e8ea8c42e376c05a1ac407b5788d34c123d2c14f46760d1d8dd779
FSD50K,1,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,2,200,30.316356491530314,2.0444027264602482,32.985494159872964,701.2666015625,8.280271530151367,1.0,f144af2255c0774bdccb03338645f4ce3b6adb0d3ca7f92ae9d2af1f4cd0b2f2,c7ce312c384e9e8e54e472c896b73c190c801c0f9e4e5598a787177dee3f1e14
FSD50K,1,NVIDIA GeForce RTX 4090 D,SAKI,1,2,200,109.1252189304214,79.36488348292187,9.163784593528314,754.3447265625,61.90154266357422,1.0,bd9501526da1fc8e9738077e79a636040b66345ddc139676c3389078e31c6f38,3a8e568221e8ea8c42e376c05a1ac407b5788d34c123d2c14f46760d1d8dd779
FSD50K,1,NVIDIA GeForce RTX 4090 D,CLAP,1,2,200,29.629679010249674,0.31405214103870094,33.74994375248122,693.7666015625,0.78125,1.0,39b6e25dfd0905b9b57fee8566ec8cc1c06700f9d8d812952aea9b53499ee874,e046375b82d7da0bd7675e78e20c1deff7ce27fbf70065a324d841f0ec7099b0
FSD50K,1,NVIDIA GeForce RTX 4090 D,SAKI,1,3,200,115.8911196119152,83.86476745945401,8.628788843775967,754.3447265625,61.90154266357422,1.0,bd9501526da1fc8e9738077e79a636040b66345ddc139676c3389078e31c6f38,3a8e568221e8ea8c42e376c05a1ac407b5788d34c123d2c14f46760d1d8dd779
FSD50K,1,NVIDIA GeForce RTX 4090 D,CLAP,1,3,200,33.31026392872445,0.3459740022663027,30.02077684343022,693.7666015625,0.78125,1.0,39b6e25dfd0905b9b57fee8566ec8cc1c06700f9d8d812952aea9b53499ee874,e046375b82d7da0bd7675e78e20c1deff7ce27fbf70065a324d841f0ec7099b0
FSD50K,1,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,3,200,34.31134852580726,2.3624809610191733,29.14487605311842,701.2666015625,8.280271530151367,1.0,f144af2255c0774bdccb03338645f4ce3b6adb0d3ca7f92ae9d2af1f4cd0b2f2,c7ce312c384e9e8e54e472c896b73c190c801c0f9e4e5598a787177dee3f1e14
FSD50K,1,NVIDIA GeForce RTX 4090 D,CLAP,1,4,200,28.55324077885598,0.2989005693234503,35.022294237805475,693.7666015625,0.78125,1.0,39b6e25dfd0905b9b57fee8566ec8cc1c06700f9d8d812952aea9b53499ee874,e046375b82d7da0bd7675e78e20c1deff7ce27fbf70065a324d841f0ec7099b0
FSD50K,1,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,4,200,31.89332359819673,2.0827785006258637,31.354524620837594,701.2666015625,8.280271530151367,1.0,f144af2255c0774bdccb03338645f4ce3b6adb0d3ca7f92ae9d2af1f4cd0b2f2,c7ce312c384e9e8e54e472c896b73c190c801c0f9e4e5598a787177dee3f1e14
FSD50K,1,NVIDIA GeForce RTX 4090 D,SAKI,1,4,200,110.40786663885228,80.65791323897429,9.057325627629709,754.3447265625,61.90154266357422,1.0,bd9501526da1fc8e9738077e79a636040b66345ddc139676c3389078e31c6f38,3a8e568221e8ea8c42e376c05a1ac407b5788d34c123d2c14f46760d1d8dd779
FSD50K,1,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,5,200,30.186544645112008,2.053785864263773,33.12734238901789,701.2666015625,8.280271530151367,1.0,f144af2255c0774bdccb03338645f4ce3b6adb0d3ca7f92ae9d2af1f4cd0b2f2,c7ce312c384e9e8e54e472c896b73c190c801c0f9e4e5598a787177dee3f1e14
FSD50K,1,NVIDIA GeForce RTX 4090 D,SAKI,1,5,200,110.15717242145911,79.92988133220933,9.077938167966224,754.3447265625,61.90154266357422,1.0,bd9501526da1fc8e9738077e79a636040b66345ddc139676c3389078e31c6f38,3a8e568221e8ea8c42e376c05a1ac407b5788d34c123d2c14f46760d1d8dd779
FSD50K,1,NVIDIA GeForce RTX 4090 D,CLAP,1,5,200,35.96375234192237,0.37104857387021184,27.80577483941563,693.7666015625,0.78125,1.0,39b6e25dfd0905b9b57fee8566ec8cc1c06700f9d8d812952aea9b53499ee874,e046375b82d7da0bd7675e78e20c1deff7ce27fbf70065a324d841f0ec7099b0
FSD50K,1,NVIDIA GeForce RTX 4090 D,CLAP,32,1,200,36.23461462906562,0.7119983993470669,27.59792011691079,1679.9990234375,0.78125,1.0,1914aca275c91df357a5285de957e1f92e20f615cc9dfddc5eae4612699ea63c,55fd600ee70e4aa41ac3216daf990ad2d4777f3fcc92d83c6d0bf9b9b36061a7
