dataset,physical_gpu_id,gpu_name,method,batch_size,repeat,n_samples,end_to_end_ms_per_sample,knowledge_stage_ms_per_sample,throughput_samples_per_s,peak_gpu_mib,offline_cache_mib,top1_agreement_vs_first_repeat,top1_sha256,full_ranking_sha256_audit
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,1,1,200,26.76122538279742,0.2760722127277404,37.36749665591985,693.02392578125,0.0390625,1.0,1f1160c057b2a9b58a058444e5557c38544296c9195b25df5d6546bbfa942260,a9e61c9a4681861182687ebe5205483b884249fbb5feb789291c822e1a6e0875
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,1,200,27.590422158828005,1.8601858639158309,36.24446172818105,695.02392578125,1.2203140258789062,1.0,ab2c0603d8a7d2a45dd0cc01a7d81321fe80b92c6dd3dac477d841f70b62ba05,a4bdb5f80c345fcbc7f9c495eebd16e8e5f62e157f7857a5809ef37066ea7f5c
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,SAKI,1,1,200,103.28343598055653,75.51061383797787,9.682094621525309,698.33642578125,5.389509201049805,1.0,851508284175c9c95f80cce977f8de6ef2ec40306a3bc4bd10af9948edce5b33,d5694bf3d880fdd10892769a2e82afdb2f9a4644aa0fcb3c89802a00425ee8a8
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,2,200,25.629737452836707,1.8530488666146994,39.01717689618079,695.02392578125,1.2203140258789062,1.0,ab2c0603d8a7d2a45dd0cc01a7d81321fe80b92c6dd3dac477d841f70b62ba05,a4bdb5f80c345fcbc7f9c495eebd16e8e5f62e157f7857a5809ef37066ea7f5c
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,SAKI,1,2,200,105.2353891020175,75.94280742807314,9.502506794844251,698.33642578125,5.389509201049805,1.0,851508284175c9c95f80cce977f8de6ef2ec40306a3bc4bd10af9948edce5b33,d5694bf3d880fdd10892769a2e82afdb2f9a4644aa0fcb3c89802a00425ee8a8
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,1,2,200,26.754068643786013,0.30194337596185505,37.377492497099624,693.02392578125,0.0390625,1.0,1f1160c057b2a9b58a058444e5557c38544296c9195b25df5d6546bbfa942260,a9e61c9a4681861182687ebe5205483b884249fbb5feb789291c822e1a6e0875
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,SAKI,1,3,200,103.98703898652457,75.57131428038701,9.616583083297407,698.33642578125,5.389509201049805,1.0,851508284175c9c95f80cce977f8de6ef2ec40306a3bc4bd10af9948edce5b33,d5694bf3d880fdd10892769a2e82afdb2f9a4644aa0fcb3c89802a00425ee8a8
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,1,3,200,27.08686594851315,0.3333289991132915,36.91826148882654,693.02392578125,0.0390625,1.0,1f1160c057b2a9b58a058444e5557c38544296c9195b25df5d6546bbfa942260,a9e61c9a4681861182687ebe5205483b884249fbb5feb789291c822e1a6e0875
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,3,200,30.54385329829529,2.1458804106805474,32.7398115173573,695.02392578125,1.2203140258789062,1.0,ab2c0603d8a7d2a45dd0cc01a7d81321fe80b92c6dd3dac477d841f70b62ba05,a4bdb5f80c345fcbc7f9c495eebd16e8e5f62e157f7857a5809ef37066ea7f5c
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,1,4,200,25.225419716443866,0.2701149112544954,39.64255149134836,693.02392578125,0.0390625,1.0,1f1160c057b2a9b58a058444e5557c38544296c9195b25df5d6546bbfa942260,a9e61c9a4681861182687ebe5205483b884249fbb5feb789291c822e1a6e0875
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,4,200,25.559823524672538,1.8879400938749313,39.123900798247455,695.02392578125,1.2203140258789062,1.0,ab2c0603d8a7d2a45dd0cc01a7d81321fe80b92c6dd3dac477d841f70b62ba05,a4bdb5f80c345fcbc7f9c495eebd16e8e5f62e157f7857a5809ef37066ea7f5c
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,SAKI,1,4,200,107.86385772633366,76.0580569121521,9.270945996917204,698.33642578125,5.389509201049805,1.0,851508284175c9c95f80cce977f8de6ef2ec40306a3bc4bd10af9948edce5b33,d5694bf3d880fdd10892769a2e82afdb2f9a4644aa0fcb3c89802a00425ee8a8
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,5,200,25.462311101146042,1.849597676191479,39.27373269565427,695.02392578125,1.2203140258789062,1.0,ab2c0603d8a7d2a45dd0cc01a7d81321fe80b92c6dd3dac477d841f70b62ba05,a4bdb5f80c345fcbc7f9c495eebd16e8e5f62e157f7857a5809ef37066ea7f5c
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,SAKI,1,5,200,116.60194519790821,86.38292607851326,8.576186257465109,698.33642578125,5.389509201049805,1.0,851508284175c9c95f80cce977f8de6ef2ec40306a3bc4bd10af9948edce5b33,d5694bf3d880fdd10892769a2e82afdb2f9a4644aa0fcb3c89802a00425ee8a8
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,1,5,200,23.566460569854826,0.2673886192496866,42.43318579961709,693.02392578125,0.0390625,1.0,1f1160c057b2a9b58a058444e5557c38544296c9195b25df5d6546bbfa942260,a9e61c9a4681861182687ebe5205483b884249fbb5feb789291c822e1a6e0875
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,32,1,200,9.598155589774251,0.17907407018356025,104.18668364423962,1679.23388671875,0.0390625,1.0,254d42b9c7b10936fbdc274f20db1311b54127ef5a3c0eb7db84c623fdbbf5a7,4b07a53ec4b448dc29130244011c36cfc235576560d7dd0fbab1766ea5385135
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,iKnow_dagger,32,1,200,9.934018088970333,1.6882490587886423,100.66420163964595,1680.97021484375,1.2203140258789062,1.0,bdcb4abd364d35227036329f688cac96976b235430d61d4ce05413c78e6a27c9,24b8052acec6100ee685f3ab8a0a85b5cc72543c90a7d3424125fb760e39bd73
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,SAKI,32,1,200,84.14780636550859,74.73410100326873,11.883851085271912,1685.46826171875,5.389509201049805,1.0,7a5e3efe1e83d9b2d1fc40ffc9e28a589942abde5a9cac1302de87541b1587f5,914e840f0ea91cb41e620adccc8ce1416545cdd8357803e72753bb94045f2354
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,iKnow_dagger,32,2,200,10.415252364473417,1.6900866746436805,96.01303597894709,1680.97021484375,1.2203140258789062,1.0,bdcb4abd364d35227036329f688cac96976b235430d61d4ce05413c78e6a27c9,24b8052acec6100ee685f3ab8a0a85b5cc72543c90a7d3424125fb760e39bd73
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,SAKI,32,2,200,86.36681966949254,74.1717748704832,11.578520591898457,1685.46826171875,5.389509201049805,1.0,7a5e3efe1e83d9b2d1fc40ffc9e28a589942abde5a9cac1302de87541b1587f5,914e840f0ea91cb41e620adccc8ce1416545cdd8357803e72753bb94045f2354
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,32,2,200,9.746850790688768,0.18434310099110007,102.59724104480051,1679.23388671875,0.0390625,1.0,254d42b9c7b10936fbdc274f20db1311b54127ef5a3c0eb7db84c623fdbbf5a7,4b07a53ec4b448dc29130244011c36cfc235576560d7dd0fbab1766ea5385135
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,SAKI,32,3,200,85.82992931711487,74.46193810086697,11.650947495311469,1685.46826171875,5.389509201049805,1.0,7a5e3efe1e83d9b2d1fc40ffc9e28a589942abde5a9cac1302de87541b1587f5,914e840f0ea91cb41e620adccc8ce1416545cdd8357803e72753bb94045f2354
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,32,3,200,8.938580359099433,0.19858004874549806,111.87458856170652,1679.23388671875,0.0390625,1.0,254d42b9c7b10936fbdc274f20db1311b54127ef5a3c0eb7db84c623fdbbf5a7,4b07a53ec4b448dc29130244011c36cfc235576560d7dd0fbab1766ea5385135
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,iKnow_dagger,32,3,200,10.437491839984432,1.6942271846346557,95.80845813638419,1680.97021484375,1.2203140258789062,1.0,bdcb4abd364d35227036329f688cac96976b235430d61d4ce05413c78e6a27c9,24b8052acec6100ee685f3ab8a0a85b5cc72543c90a7d3424125fb760e39bd73
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,32,4,200,9.345373096875846,0.1827954815234989,107.00482363131114,1679.23388671875,0.0390625,1.0,254d42b9c7b10936fbdc274f20db1311b54127ef5a3c0eb7db84c623fdbbf5a7,4b07a53ec4b448dc29130244011c36cfc235576560d7dd0fbab1766ea5385135
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,iKnow_dagger,32,4,200,11.257481635548174,1.7422616493422538,88.82981401828472,1680.97021484375,1.2203140258789062,1.0,bdcb4abd364d35227036329f688cac96976b235430d61d4ce05413c78e6a27c9,24b8052acec6100ee685f3ab8a0a85b5cc72543c90a7d3424125fb760e39bd73
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,SAKI,32,4,200,86.01646525319666,75.5172868585214,11.625681165302671,1685.46826171875,5.389509201049805,1.0,7a5e3efe1e83d9b2d1fc40ffc9e28a589942abde5a9cac1302de87541b1587f5,914e840f0ea91cb41e620adccc8ce1416545cdd8357803e72753bb94045f2354
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,iKnow_dagger,32,5,200,13.983263451373205,1.8540525960270315,71.51406418662566,1680.97021484375,1.2203140258789062,1.0,bdcb4abd364d35227036329f688cac96976b235430d61d4ce05413c78e6a27c9,24b8052acec6100ee685f3ab8a0a85b5cc72543c90a7d3424125fb760e39bd73
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,SAKI,32,5,200,87.23512440687045,75.37029260536656,11.463272469652626,1685.46826171875,5.389509201049805,1.0,7a5e3efe1e83d9b2d1fc40ffc9e28a589942abde5a9cac1302de87541b1587f5,914e840f0ea91cb41e620adccc8ce1416545cdd8357803e72753bb94045f2354
UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,32,5,200,9.943599678808823,0.1911751856096089,100.56720225082445,1679.23388671875,0.0390625,1.0,254d42b9c7b10936fbdc274f20db1311b54127ef5a3c0eb7db84c623fdbbf5a7,4b07a53ec4b448dc29130244011c36cfc235576560d7dd0fbab1766ea5385135
