dataset,physical_gpu_id,gpu_name,method,batch_size,repeat,n_samples,end_to_end_ms_per_sample,knowledge_stage_ms_per_sample,throughput_samples_per_s,peak_gpu_mib,offline_cache_mib,top1_agreement_vs_first_repeat,top1_sha256,full_ranking_sha256_audit
FSD50K,0,NVIDIA GeForce RTX 4090 D,CLAP,1,1,200,19.168997082160786,0.2526766201481223,52.16757015058594,693.7666015625,0.78125,1.0,39b6e25dfd0905b9b57fee8566ec8cc1c06700f9d8d812952aea9b53499ee874,e046375b82d7da0bd7675e78e20c1deff7ce27fbf70065a324d841f0ec7099b0
FSD50K,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,1,200,20.262072171317413,1.4783115417230874,49.353293757169624,701.2666015625,8.280271530151367,1.0,f144af2255c0774bdccb03338645f4ce3b6adb0d3ca7f92ae9d2af1f4cd0b2f2,c7ce312c384e9e8e54e472c896b73c190c801c0f9e4e5598a787177dee3f1e14
FSD50K,0,NVIDIA GeForce RTX 4090 D,SAKI,1,1,200,71.74967374070548,52.0929004997015,13.937345605415258,754.3447265625,61.90154266357422,1.0,bd9501526da1fc8e9738077e79a636040b66345ddc139676c3389078e31c6f38,3a8e568221e8ea8c42e376c05a1ac407b5788d34c123d2c14f46760d1d8dd779
FSD50K,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,2,200,20.78026932431385,1.4618608984164894,48.12257167571717,701.2666015625,8.280271530151367,1.0,f144af2255c0774bdccb03338645f4ce3b6adb0d3ca7f92ae9d2af1f4cd0b2f2,c7ce312c384e9e8e54e472c896b73c190c801c0f9e4e5598a787177dee3f1e14
FSD50K,0,NVIDIA GeForce RTX 4090 D,SAKI,1,2,200,71.6950227401685,52.155578517122194,13.947969632761286,754.3447265625,61.90154266357422,1.0,bd9501526da1fc8e9738077e79a636040b66345ddc139676c3389078e31c6f38,3a8e568221e8ea8c42e376c05a1ac407b5788d34c123d2c14f46760d1d8dd779
FSD50K,0,NVIDIA GeForce RTX 4090 D,CLAP,1,2,200,19.146712445653975,0.2526875492185354,52.22828738032181,693.7666015625,0.78125,1.0,39b6e25dfd0905b9b57fee8566ec8cc1c06700f9d8d812952aea9b53499ee874,e046375b82d7da0bd7675e78e20c1deff7ce27fbf70065a324d841f0ec7099b0
FSD50K,0,NVIDIA GeForce RTX 4090 D,SAKI,1,3,200,72.06895006471314,52.04334397800267,13.875601061234642,754.3447265625,61.90154266357422,1.0,bd9501526da1fc8e9738077e79a636040b66345ddc139676c3389078e31c6f38,3a8e568221e8ea8c42e376c05a1ac407b5788d34c123d2c14f46760d1d8dd779
FSD50K,0,NVIDIA GeForce RTX 4090 D,CLAP,1,3,200,18.89345524017699,0.2502795460168272,52.92838113980851,693.7666015625,0.78125,1.0,39b6e25dfd0905b9b57fee8566ec8cc1c06700f9d8d812952aea9b53499ee874,e046375b82d7da0bd7675e78e20c1deff7ce27fbf70065a324d841f0ec7099b0
FSD50K,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,3,200,20.43497747858055,1.457064172718674,48.935703552801854,701.2666015625,8.280271530151367,1.0,f144af2255c0774bdccb03338645f4ce3b6adb0d3ca7f92ae9d2af1f4cd0b2f2,c7ce312c384e9e8e54e472c896b73c190c801c0f9e4e5598a787177dee3f1e14
FSD50K,0,NVIDIA GeForce RTX 4090 D,CLAP,1,4,200,19.444893344771117,0.2505713084246963,51.427384160423166,693.7666015625,0.78125,1.0,39b6e25dfd0905b9b57fee8566ec8cc1c06700f9d8d812952aea9b53499ee874,e046375b82d7da0bd7675e78e20c1deff7ce27fbf70065a324d841f0ec7099b0
FSD50K,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,4,200,20.647114181192592,1.4562983927316964,48.43291857759462,701.2666015625,8.280271530151367,1.0,f144af2255c0774bdccb03338645f4ce3b6adb0d3ca7f92ae9d2af1f4cd0b2f2,c7ce312c384e9e8e54e472c896b73c190c801c0f9e4e5598a787177dee3f1e14
FSD50K,0,NVIDIA GeForce RTX 4090 D,SAKI,1,4,200,71.87413729843684,51.92935190629214,13.91321047580419,754.3447265625,61.90154266357422,1.0,bd9501526da1fc8e9738077e79a636040b66345ddc139676c3389078e31c6f38,3a8e568221e8ea8c42e376c05a1ac407b5788d34c123d2c14f46760d1d8dd779
FSD50K,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,5,200,20.6541542254854,1.453969314461574,48.416410039491645,701.2666015625,8.280271530151367,1.0,f144af2255c0774bdccb03338645f4ce3b6adb0d3ca7f92ae9d2af1f4cd0b2f2,c7ce312c384e9e8e54e472c896b73c190c801c0f9e4e5598a787177dee3f1e14
FSD50K,0,NVIDIA GeForce RTX 4090 D,SAKI,1,5,200,71.84315915335901,51.918985586380586,13.919209731094421,754.3447265625,61.90154266357422,1.0,bd9501526da1fc8e9738077e79a636040b66345ddc139676c3389078e31c6f38,3a8e568221e8ea8c42e376c05a1ac407b5788d34c123d2c14f46760d1d8dd779
FSD50K,0,NVIDIA GeForce RTX 4090 D,CLAP,1,5,200,19.40111272968352,0.2492101804818958,51.54343536543703,693.7666015625,0.78125,1.0,39b6e25dfd0905b9b57fee8566ec8cc1c06700f9d8d812952aea9b53499ee874,e046375b82d7da0bd7675e78e20c1deff7ce27fbf70065a324d841f0ec7099b0
FSD50K,0,NVIDIA GeForce RTX 4090 D,CLAP,32,1,200,6.411332645220682,0.15128094935789704,155.9738131424905,1679.9990234375,0.78125,1.0,1914aca275c91df357a5285de957e1f92e20f615cc9dfddc5eae4612699ea63c,55fd600ee70e4aa41ac3216daf990ad2d4777f3fcc92d83c6d0bf9b9b36061a7
FSD50K,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,32,1,200,7.513735300162807,1.3008074497338384,133.08959659230104,1688.4052734375,8.280271530151367,1.0,2ffd0df320cbc9b817d845d993ed63f1bc65d68c8d306f5091309d7d3a3b65fc,4915e0f58a1ff43a3d76e0a4f9562f51b54578a2b35c71eddacd4c6bf4bc3c42
FSD50K,0,NVIDIA GeForce RTX 4090 D,SAKI,32,1,200,58.61601502285339,52.33232340426184,17.06018397207857,1740.5771484375,61.90154266357422,1.0,d07e2c9ecfbff5085f32e857c8282e6875f2b345b4caed18e68d490c125d79ba,4dddd88672e6263f2a7dc66eeedac1ffef06e94332e764a0f3763844e97928e5
FSD50K,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,32,2,200,7.5864510086830705,1.3067705801222473,131.81394025420454,1688.4052734375,8.280271530151367,1.0,2ffd0df320cbc9b817d845d993ed63f1bc65d68c8d306f5091309d7d3a3b65fc,4915e0f58a1ff43a3d76e0a4f9562f51b54578a2b35c71eddacd4c6bf4bc3c42
FSD50K,0,NVIDIA GeForce RTX 4090 D,SAKI,32,2,200,58.61901536118239,52.46564864413813,17.059310768672542,1740.5771484375,61.90154266357422,1.0,d07e2c9ecfbff5085f32e857c8282e6875f2b345b4caed18e68d490c125d79ba,4dddd88672e6263f2a7dc66eeedac1ffef06e94332e764a0f3763844e97928e5
FSD50K,0,NVIDIA GeForce RTX 4090 D,CLAP,32,2,200,6.417843936942518,0.1512137579265982,155.81556825397087,1679.9990234375,0.78125,1.0,1914aca275c91df357a5285de957e1f92e20f615cc9dfddc5eae4612699ea63c,55fd600ee70e4aa41ac3216daf990ad2d4777f3fcc92d83c6d0bf9b9b36061a7
FSD50K,0,NVIDIA GeForce RTX 4090 D,SAKI,32,3,200,58.38005602709018,52.12868990842253,17.129137381025615,1740.5771484375,61.90154266357422,1.0,d07e2c9ecfbff5085f32e857c8282e6875f2b345b4caed18e68d490c125d79ba,4dddd88672e6263f2a7dc66eeedac1ffef06e94332e764a0f3763844e97928e5
FSD50K,0,NVIDIA GeForce RTX 4090 D,CLAP,32,3,200,6.441896430915222,0.15257180319167674,155.2337903479654,1679.9990234375,0.78125,1.0,1914aca275c91df357a5285de957e1f92e20f615cc9dfddc5eae4612699ea63c,55fd600ee70e4aa41ac3216daf990ad2d4777f3fcc92d83c6d0bf9b9b36061a7
FSD50K,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,32,3,200,7.498019193299115,1.3075973850209266,133.36855697751312,1688.4052734375,8.280271530151367,1.0,2ffd0df320cbc9b817d845d993ed63f1bc65d68c8d306f5091309d7d3a3b65fc,4915e0f58a1ff43a3d76e0a4f9562f51b54578a2b35c71eddacd4c6bf4bc3c42
FSD50K,0,NVIDIA GeForce RTX 4090 D,CLAP,32,4,200,6.47949211881496,0.15165705932304263,154.33308377615418,1679.9990234375,0.78125,1.0,1914aca275c91df357a5285de957e1f92e20f615cc9dfddc5eae4612699ea63c,55fd600ee70e4aa41ac3216daf990ad2d4777f3fcc92d83c6d0bf9b9b36061a7
FSD50K,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,32,4,200,7.549489978700876,1.3134776160586625,132.45927907994667,1688.4052734375,8.280271530151367,1.0,2ffd0df320cbc9b817d845d993ed63f1bc65d68c8d306f5091309d7d3a3b65fc,4915e0f58a1ff43a3d76e0a4f9562f51b54578a2b35c71eddacd4c6bf4bc3c42
