dataset,physical_gpu_id,gpu_name,method,batch_size,repeat,n_samples,end_to_end_ms_per_sample,knowledge_stage_ms_per_sample,throughput_samples_per_s,peak_gpu_mib,offline_cache_mib,top1_agreement_vs_first_repeat,top1_sha256,full_ranking_sha256_audit
UrbanSound8K,0,NVIDIA GeForce RTX 4090 D,CLAP,1,1,200,19.712745113065466,0.26639506686478853,50.72860194074174,693.02392578125,0.0390625,1.0,1f1160c057b2a9b58a058444e5557c38544296c9195b25df5d6546bbfa942260,a9e61c9a4681861182687ebe5205483b884249fbb5feb789291c822e1a6e0875
UrbanSound8K,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,1,200,20.833478656131774,1.7390302184503525,47.999665178607934,695.02392578125,1.2203140258789062,1.0,ab2c0603d8a7d2a45dd0cc01a7d81321fe80b92c6dd3dac477d841f70b62ba05,a4bdb5f80c345fcbc7f9c495eebd16e8e5f62e157f7857a5809ef37066ea7f5c
UrbanSound8K,0,NVIDIA GeForce RTX 4090 D,SAKI,1,1,200,91.92977431230247,71.52974857133813,10.87786854129343,698.33642578125,5.389509201049805,1.0,851508284175c9c95f80cce977f8de6ef2ec40306a3bc4bd10af9948edce5b33,d5694bf3d880fdd10892769a2e82afdb2f9a4644aa0fcb3c89802a00425ee8a8
UrbanSound8K,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,2,200,20.30675794929266,1.7451798124238849,49.244689994191454,695.02392578125,1.2203140258789062,1.0,ab2c0603d8a7d2a45dd0cc01a7d81321fe80b92c6dd3dac477d841f70b62ba05,a4bdb5f80c345fcbc7f9c495eebd16e8e5f62e157f7857a5809ef37066ea7f5c
UrbanSound8K,0,NVIDIA GeForce RTX 4090 D,SAKI,1,2,200,91.64995905710384,71.09367518802173,10.911079615179483,698.33642578125,5.389509201049805,1.0,851508284175c9c95f80cce977f8de6ef2ec40306a3bc4bd10af9948edce5b33,d5694bf3d880fdd10892769a2e82afdb2f9a4644aa0fcb3c89802a00425ee8a8
UrbanSound8K,0,NVIDIA GeForce RTX 4090 D,CLAP,1,2,200,19.378682711394504,0.25487535749562085,51.603094745547814,693.02392578125,0.0390625,1.0,1f1160c057b2a9b58a058444e5557c38544296c9195b25df5d6546bbfa942260,a9e61c9a4681861182687ebe5205483b884249fbb5feb789291c822e1a6e0875
UrbanSound8K,0,NVIDIA GeForce RTX 4090 D,SAKI,1,3,200,91.2532477278728,71.26959962071851,10.958514079215128,698.33642578125,5.389509201049805,1.0,851508284175c9c95f80cce977f8de6ef2ec40306a3bc4bd10af9948edce5b33,d5694bf3d880fdd10892769a2e82afdb2f9a4644aa0fcb3c89802a00425ee8a8
UrbanSound8K,0,NVIDIA GeForce RTX 4090 D,CLAP,1,3,200,18.931352926883847,0.25579532026313245,52.822426577866494,693.02392578125,0.0390625,1.0,1f1160c057b2a9b58a058444e5557c38544296c9195b25df5d6546bbfa942260,a9e61c9a4681861182687ebe5205483b884249fbb5feb789291c822e1a6e0875
UrbanSound8K,0,NVIDIA GeForce RTX 4090 D,iKnow_dagger,1,3,200,20.37439627572894,1.746109341038391,49.08120890881331,695.02392578125,1.2203140258789062,1.0,ab2c0603d8a7d2a45dd0cc01a7d81321fe80b92c6dd3dac477d841f70b62ba05,a4bdb5f80c345fcbc7f9c495eebd16e8e5f62e157f7857a5809ef37066ea7f5c
UrbanSound8K,0,NVIDIA GeForce RTX 4090 D,CLAP,1,4,200,19.13189667626284,0.2564006391912699,52.2687330441582,693.02392578125,0.0390625,1.0,1f1160c057b2a9b58a058444e5557c38544296c9195b25df5d6546bbfa942260,a9e61c9a4681861182687ebe5205483b884249fbb5feb789291c822e1a6e0875
