dataset,batch_size,method,n_samples,repeats,online_latency_ms_per_sample,relative_overhead_x,throughput_samples_per_s,peak_gpu_memory_mib,offline_cache_mib
ESC-50,1,CLAP,200,5,22.917444485006854,1.0,44.53030580630131,693.18017578125,0.1953125
ESC-50,1,iKnow_dagger,200,5,23.01957259210758,1.004456347965304,43.49526802776668,697.18017578125,4.005695343017578
ESC-50,1,SAKI,200,5,93.17319430154748,4.065601396460397,10.736997675482636,717.18017578125,24.46487522125244
ESC-50,32,CLAP,200,5,6.728185397805646,1.0,158.8649104296333,1679.39501953125,0.1953125
ESC-50,32,iKnow_dagger,200,5,7.9948933138512075,1.188268878033398,130.3688395927891,1683.39501953125,4.005695343017578
ESC-50,32,SAKI,200,5,75.12042594677769,11.16503507339107,13.318467450774023,1703.48486328125,24.46487522125244
UrbanSound8K,1,CLAP,200,5,19.295584760140628,1.0,51.83479896866231,693.02392578125,0.0390625
UrbanSound8K,1,iKnow_dagger,200,5,20.511555859120563,1.0630181004667865,48.756929960312185,695.02392578125,1.2203140258789062
UrbanSound8K,1,SAKI,200,5,91.53570429887623,4.743867855612431,10.924770703947303,698.33642578125,5.389509201049805
UrbanSound8K,32,CLAP,200,5,6.135052202735096,1.0,163.16889372651139,1679.23388671875,0.0390625
UrbanSound8K,32,iKnow_dagger,200,5,7.55699402326718,1.231773385709442,132.55944682360132,1680.97021484375,1.2203140258789062
UrbanSound8K,32,SAKI,200,5,77.18405313673429,12.580830706269216,12.956088283667906,1685.46826171875,5.389509201049805
FSD50K,1,CLAP,200,5,19.211034168489277,1.0,52.059011639315294,693.7666015625,0.78125
FSD50K,1,iKnow_dagger,200,5,20.55571747617796,1.0699953628677776,48.65217952055498,701.2666015625,8.280271530151367
FSD50K,1,SAKI,200,5,71.84618859947659,3.7398397175994638,13.918667301261959,754.3447265625,61.90154266357422
FSD50K,32,CLAP,200,5,6.404413158772513,1.0,156.16154511505587,1679.9990234375,0.78125
FSD50K,32,iKnow_dagger,200,5,7.514240852789953,1.1732910832739205,133.0877123622375,1688.4052734375,8.280271530151367
FSD50K,32,SAKI,200,5,58.555294117191806,9.142960122268981,17.07791482293854,1740.5771484375,61.90154266357422
AudioSet,1,CLAP,200,5,31.32680954784155,1.0,32.42941102575206,694.98681640625,2.05859375
AudioSet,1,iKnow_dagger,200,5,32.29550311458297,1.0309221903131265,31.03558403987738,712.98681640625,19.11838722229004
AudioSet,1,SAKI,200,5,83.88092818879522,2.6776083935612496,11.928673475091784,846.98681640625,154.57154369354248
AudioSet,32,CLAP,200,5,16.691031753318384,1.0,60.349846427655486,1681.31640625,2.05859375
AudioSet,32,iKnow_dagger,200,5,18.031368186464533,1.0803027909212186,55.75930212042859,1699.31640625,19.11838722229004
AudioSet,32,SAKI,200,5,69.48783615999855,4.16318398928116,14.394353584252523,1833.31640625,154.57154369354248
TUT2017,1,CLAP,200,5,29.10944614256732,1.0,34.5059872430334,693.04345703125,0.05859375
TUT2017,1,iKnow_dagger,200,5,29.425411100499332,1.0108543788976447,33.98461806067044,695.04345703125,1.0991706848144531
TUT2017,1,SAKI,200,5,92.16496556485072,3.166153183178434,10.850127304666362,699.23095703125,6.292492866516113
TUT2017,32,CLAP,200,5,16.837995431153104,1.0,59.39146226919153,1679.25390625,0.05859375
TUT2017,32,iKnow_dagger,200,5,18.09846551786177,1.0748586785085228,55.26124289776152,1680.990234375,1.0991706848144531
TUT2017,32,SAKI,200,5,80.19700785540044,4.762859580483232,12.469305962330697,1686.36328125,6.292492866516113
